name,street,zip_code
Eichhorster Weg 44,Eichhorster Weg 44,13435
Finsterwalder Straße 1,Finsterwalder Straße 1,13435
Wilhelmsruher Damm 97,Wilhelmsruher Damm 97,13439
Wilhelmsruher Damm 127,Wilhelmsruher Damm 127,13439
Wilhelmsruher Damm 173,Wilhelmsruher Damm 173,13439
Senftenberger Ring 12,Senftenberger Ring 12,13439
Senftenberger Ring 34a,Senftenberger Ring 34a,13435
Senftenberger Ring 40a,Senftenberger Ring 40a,13435
Senftenberger Ring 42n,Senftenberger Ring 42n,13435
Senftenberger Ring 95,Senftenberger Ring 95,13435
Dannenwalder Weg 184,Dannenwalder Weg 184,13439
Finsterwalder Straße 33,Finsterwalder Straße 33,13435